XX,ANY,REP,DEM
AL,7,0,2
AK,1,0,0
AZ,9,2,1
AR,4,0,2
CA,53,15,5
CO,7,1,2
CT,5,2,0
DE,1,1,0
FL,27,3,7
GA,14,1,4
HI,2,1,0
ID,2,0,1
IL,18,5,2
IN,9,0,4
IA,4,1,1
KS,4,0,2
KY,6,0,2
LA,6,1,2
ME,2,1,0
MD,8,3,0
MA,9,4,0
MI,14,0,5
MN,8,1,1
MS,4,0,2
MO,8,1,3
MT,1,0,1
NE,3,0,1
NV,4,1,0
NH,2,1,0
NJ,12,2,3
NM,3,1,0
NY,27,6,5
NC,13,0,6
ND,1,0,0
OH,16,0,6
OK,5,0,2
OR,5,2,0
PA,18,0,7
RI,2,0,0
SC,7,0,2
SD,1,0,1
TN,9,0,3
TX,36,4,9
UT,4,0,1
VT,1,0,0
VA,11,0,5
WA,10,2,1
WV,3,0,1
WI,8,0,3
WY,1,0,0
