XX,n,POWER,n',POWER'
AL,7,580372.571429,10,406260.800000
AK,1,551947.000000,2,275973.500000
AZ,6,612997.500000,9,408665.000000
AR,4,590559.750000,6,393706.500000
CA,52,573831.730769,71,420271.126761
CO,6,551318.666667,8,413489.000000
CT,6,549278.166667,8,411958.625000
DE,1,668696.000000,2,334348.000000
FL,23,565363.565217,31,419463.290323
GA,11,591674.454545,16,406776.187500
HI,2,557637.000000,3,371758.000000
ID,2,505993.000000,3,337328.666667
IL,20,573334.100000,27,424691.925926
IN,10,556422.800000,13,428017.538462
IA,5,557484.800000,7,398203.428571
KS,4,621400.000000,6,414266.666667
KY,6,616494.833333,9,410996.555556
LA,7,605459.428571,10,423821.600000
ME,2,616611.500000,3,411074.333333
MD,8,599827.750000,11,436238.363636
MA,10,602905.100000,14,430646.500000
MI,16,583049.000000,22,424035.636364
MN,8,548378.625000,10,438702.900000
MS,5,517288.600000,6,431073.833333
MO,9,570867.111111,12,428150.333333
MT,1,803655.000000,2,401827.500000
NE,3,528205.666667,4,396154.250000
NV,2,603076.000000,3,402050.666667
NH,2,556957.500000,3,371305.000000
NJ,13,596048.769231,19,407822.842105
NM,3,507259.666667,4,380444.750000
NY,31,582080.806452,43,419639.651163
NC,12,554802.500000,16,416101.875000
ND,1,641364.000000,2,320682.000000
OH,19,573017.105263,26,418743.269231
OK,6,526267.333333,8,394700.500000
OR,5,570746.600000,7,407676.142857
PA,21,567843.333333,28,425882.500000
RI,2,502992.000000,3,335328.000000
SC,6,584284.500000,8,438213.375000
SD,1,699999.000000,2,349999.500000
TN,9,544071.222222,12,408053.416667
TX,30,568660.166667,41,416092.804878
UT,3,575928.000000,4,431946.000000
VT,1,564964.000000,2,282482.000000
VA,11,565142.545455,15,414437.866667
WA,9,543104.555556,12,407328.416667
WV,3,600541.666667,4,450406.250000
WI,9,545193.888889,12,408895.416667
WY,1,455975.000000,2,227987.500000
