XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,10,480298.200000,0.391464,1,0.248607,4,0.008536
AK,1,721523.000000,2,360761.500000,0.466937,0,0.466937,1,0.033063
AZ,9,712522.222222,13,493284.615385,0.507527,5,0.048028,7,0.030934
AR,4,731557.250000,6,487704.833333,0.360027,0,0.360027,2,0.026694
CA,53,704565.830189,78,478743.448718,0.639639,46,0.228285,50,0.001386
CO,7,720704.285714,11,458630.000000,0.554363,4,0.017066,6,0.008908
CT,5,716325.600000,7,511661.142857,0.612083,5,0.387917,5,0.102202
DE,1,900877.000000,2,450438.500000,0.644540,1,0.355460,1,0.144540
FL,27,700028.629630,39,484635.205128,0.502943,13,0.021461,20,0.009878
GA,14,694826.142857,20,486378.300000,0.474301,5,0.117158,9,0.024301
HI,2,683431.000000,3,455620.666667,0.767239,2,0.232761,2,0.100572
ID,2,786749.500000,3,524499.666667,0.360341,0,0.360341,1,0.027008
IL,18,714687.777778,27,476458.518519,0.611158,13,0.111064,17,0.018471
IN,9,722398.000000,14,464398.714286,0.444870,2,0.222648,6,0.016298
IA,4,763446.750000,6,508964.500000,0.520492,3,0.229508,3,0.020492
KS,4,715953.250000,6,477302.166667,0.451921,1,0.201921,3,0.048079
KY,6,725101.000000,9,483400.666667,0.395908,1,0.229241,4,0.048536
LA,6,758993.666667,10,455396.200000,0.376212,1,0.209545,4,0.023788
ME,2,666537.000000,3,444358.000000,0.578750,2,0.421250,2,0.087917
MD,8,723741.125000,12,482494.083333,0.669242,7,0.205758,8,0.002575
MA,9,728849.333333,14,468546.000000,0.684156,9,0.315844,10,0.030130
MI,14,707973.285714,21,471982.190476,0.533351,7,0.005111,11,0.016649
MN,8,664359.875000,11,483170.818182,0.557973,5,0.067027,6,0.012519
MS,4,744560.000000,6,496373.333333,0.428623,1,0.178623,3,0.071377
MO,8,751434.750000,13,462421.384615,0.435775,2,0.185775,6,0.025763
MT,1,994416.000000,2,497208.000000,0.476143,0,0.476143,1,0.023857
NE,3,610608.333333,4,457956.250000,0.379708,0,0.379708,1,0.129708
NV,4,677358.000000,6,451572.000000,0.527683,3,0.222317,3,0.027683
NH,2,660722.500000,3,440481.666667,0.555563,2,0.444437,2,0.111104
NJ,12,733958.416667,18,489305.611111,0.607701,11,0.308966,11,0.003410
NM,3,689091.000000,4,516818.250000,0.604172,3,0.395828,3,0.145828
NY,27,719298.333333,41,473684.268293,0.651326,21,0.126452,27,0.007211
NC,13,735829.307692,20,478289.050000,0.499622,3,0.268853,10,0.000378
ND,1,675905.000000,2,337952.500000,0.371420,0,0.371420,1,0.128580
OH,16,723030.937500,24,482020.625000,0.476149,4,0.226149,11,0.017816
OK,5,752976.400000,8,470610.250000,0.369679,1,0.169679,3,0.005321
OR,5,769721.200000,8,481075.750000,0.601727,4,0.198273,5,0.023273
PA,18,707494.722222,27,471663.148148,0.540573,9,0.040573,15,0.014982
RI,2,527623.500000,3,351749.000000,0.651360,2,0.348640,2,0.015306
SC,7,663710.714286,10,464597.500000,0.449831,2,0.164116,4,0.049831
SD,1,819761.000000,2,409880.500000,0.373873,0,0.373873,1,0.126127
TN,9,708381.222222,13,490417.769231,0.398122,2,0.175900,5,0.013507
TX,36,701900.500000,53,476762.603774,0.472325,13,0.111214,25,0.000627
UT,4,692691.250000,6,461794.166667,0.377285,1,0.127285,2,0.043952
VT,1,630337.000000,2,315168.500000,0.727273,1,0.272727,1,0.227273
VA,11,730703.272727,17,472808.000000,0.556627,7,0.079737,9,0.027215
WA,10,675336.900000,14,482383.500000,0.633668,7,0.066332,9,0.009189
WV,3,619938.333333,4,464953.750000,0.410289,0,0.410289,1,0.160289
WI,8,712278.750000,12,474852.500000,0.511607,3,0.136607,6,0.011607
WY,1,568300.000000,2,284150.000000,0.318860,0,0.318860,1,0.181140
